Collection,Record,Resource Title,Abstract,Online Resource,Keyword,Author / Originator,Distribution Format,Resource Type,Resource Version,Temporal Extent,Spatial Extent,Resource Citation
MILES,1.xml,1.0,1.0,0.0,10.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,10.xml,1.0,1.0,0.0,4.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0
MILES,11.xml,1.0,1.0,0.0,6.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0
MILES,12.xml,1.0,1.0,0.0,6.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0
MILES,13.xml,1.0,1.0,0.0,6.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0
MILES,14.xml,1.0,1.0,0.0,19.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,15.xml,1.0,1.0,0.0,16.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,16.xml,1.0,1.0,0.0,8.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0
MILES,17.xml,1.0,1.0,0.0,8.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0
MILES,18.xml,1.0,1.0,0.0,12.0,2.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,19.xml,1.0,1.0,0.0,12.0,2.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,2.xml,1.0,1.0,0.0,11.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,3.xml,1.0,1.0,0.0,9.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,4.xml,1.0,1.0,0.0,10.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,5.xml,1.0,1.0,0.0,9.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,6.xml,1.0,1.0,0.0,9.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,7.xml,1.0,1.0,0.0,15.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,8.xml,1.0,1.0,0.0,10.0,3.0,1.0,0.0,-1.0,1.0,1.0,0.0
MILES,9.xml,1.0,1.0,0.0,10.0,3.0,1.0,0.0,-1.0,1.0,1.0,0.0
